"","영화명","개봉일","누적관객수","스크린수","상영횟수","대표국적","배급사","17371"
"5799","인휴먼즈","43019","17","4","4","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-10-09
"5800","회색 양복을 입은 사나이",NA,"824","1","1","미국",NA,2017-10-09
"5801","사월의 끝","42992","515","2","8","한국","(주)비엠컬쳐스",2017-10-09
"5802","도리를 찾아서","42557","2601748","1","3","미국","월트디즈니컴퍼니코리아(주)",2017-10-09
"5803","식스 데이 세븐 나잇","36022","74","1","1","미국",NA,2017-10-09
"5804","컷스로트 아일랜드","35063","13","1","1","미국",NA,2017-10-09
"5805","올드보이","37946","308680","1","1","한국","쇼이스트(주),씨제이이앤엠(주)",2017-10-09
"5806","추억의 장미",NA,"2453","1","1","미국",NA,2017-10-09
"5807","터닝메카드W: 블랙미러의 부활","42753","429726","1","3","한국","씨네그루(주)키다리이엔티",2017-10-09
"5808","라 붐","41571","9211","1","1","프랑스","(주)앤드플러스미디어웍스",2017-10-09
"5809","무협","40864","28719","1","1","홍콩","(주)넥스트엔터테인먼트월드(NEW)",2017-10-09
"5810","작쩐","43006","37","4","9","중국","(주)케이알씨지",2017-10-09
"5811","악마는 프라다를 입는다","39015","1378116","1","1","미국","(주)퍼스트런,글뫼 주식회사,이십세기폭스코리아(주)",2017-10-09
"5812","몽키킹 VS 구미호 대결전","43006","45","4","9","중국","(주)케이알씨지",2017-10-09
"5813","보안관","42858","2588626","1","3","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-10-09
"5814","더 킬러","43006","30","4","9","스페인","(주)케이알씨지",2017-10-09
"5815","마지막 황제","32500","7909","1","1","영국","예지림엔터테인먼트,아티잔엔터테인먼트,콜럼비아 픽쳐스 코포레이션",2017-10-09
"5816","키드냅 시티","43006","34","4","8","캐나다","(주)케이알씨지",2017-10-09
"5817","파워배틀 와치카: 와치가면의 역습","42887","23580","1","3","한국","(주)삼지애니메이션",2017-10-09
"5818","산",NA,"3241","1","1","미국",NA,2017-10-09
"5819","첫키스만 50번째","38092","220215","1","1","미국","팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2017-10-09
"5820","케이지 다이브","42999","994","3","7","호주","(주)드림팩트엔터테인먼트",2017-10-09
"5821","재꽃","42922","5428","1","1","한국","딥 포커스",2017-10-09
"5822","부러진 화살",NA,"410","1","1","미국",NA,2017-10-09
"5823","발레리안: 천 개 행성의 도시","42977","510361","1","5","프랑스","판씨네마(주)",2017-10-09
"5824","그녀의 깊은 정사-감독판","42992","180","1","5","한국","(주)케이알씨지",2017-10-09
"5825","공동경비구역 JSA","36777","1161","1","1","한국","씨제이엔터테인먼트",2017-10-09
"5826","엽문3: 최후의 대결","42439","47076","1","1","홍콩","씨네그루(주)키다리이엔티",2017-10-09
"5827","인류멸망 주식회사","43021","3","1","1","캐나다","(주)도키엔터테인먼트",2017-10-09
"5828","소중한 날의 꿈","40717","53220","1","1","한국","에이원엔터테인먼트",2017-10-09
"5829","10월 단편 상상극장-제11회 대단한 단편영화제 수상작 모음",NA,"2","1","1","한국",NA,2017-10-09
"5830","사위를 노린 장모님","43020","2","1","1","일본","(주)도키엔터테인먼트",2017-10-09
"5831","메밀꽃, 운수 좋은 날, 그리고 봄봄","41872","34735","1","1","한국","이달투",2017-10-09
"5832","엉덩이 전문 마사지샵","43020","2","1","1","일본","(주)도키엔터테인먼트",2017-10-09
"5833","치어 댄스","42999","1965","1","1","일본","와이드 릴리즈(주)",2017-10-09
"5834","거유를 끼워라","43020","2","1","1","일본","(주)도키엔터테인먼트",2017-10-09
"5835","네시 앤 미","43020","1","1","1","미국","(주)시네마리퍼블릭",2017-10-09
"5836","페이스 오브 데블","43020","1","1","1","페루","(주)시네마리퍼블릭",2017-10-09
"5837","아키라","42978","10574","1","1","일본","(주)삼지애니메이션,(주)에이원엔터테인먼트",2017-10-09
"5838","밤섬해적단 서울불바다","42971","2294","1","1","한국","찬란",2017-10-09
"5839","온천탕 스와핑 부부","43020","1","1","1","일본","(주)도키엔터테인먼트",2017-10-09
"5840","전망 좋은 부동산 무삭제판","43022","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5841","착한 여자:대물이 좋아 무삭제판","43022","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5842","공포극장:절규편","43021","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5843","농익은 젊은과부의 꽃잎","43021","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5844","과부:젖어버린 그곳","43021","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5845","착한 며느리","43022","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5846","형수님을 탐하다","43022","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5847","비밀섹스:발정난 아내들","43021","1","1","1","일본","(주)영진크리에이티브",2017-10-09
"5848","내 누이의 연인","43021","1","1","1","일본","(주)아이브픽쳐스",2017-10-09
"5849","내 여자친구의 남자친구",NA,"668","1","1","프랑스",NA,2017-10-09
"5850","우주의 크리스마스","42656","2132","1","1","한국","(주)인디플러그",2017-10-09
"5851","동주","42417","1175259","1","1","한국","메가박스(주)플러스엠",2017-10-09
"5852","아리랑 2",NA,"0","1","1","한국",NA,2017-10-09
"5860","남한산성","43011","2999059","1229","32360","한국","씨제이이앤엠(주)",2017-10-02
"5861","킹스맨: 골든 서클","43005","4401028","1661","31776","미국","이십세기폭스코리아(주)",2017-10-02
"5862","범죄도시","43011","1807161","1315","19895","한국","메가박스(주)플러스엠,(주)키위미디어그룹",2017-10-02
"5863","아이 캔 스피크","42999","2869602","921","20122","한국","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-10-02
"5864","넛잡 2","43011","249939","506","4687","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-10-02
"5865","딥","43011","170363","441","3873","스페인","(주)이수C&E",2017-10-02
"5866","극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!","43005","192214","486","2448","일본","씨제이이앤엠(주)",2017-10-02
"5867","레고 닌자고 무비","43006","143354","453","1825","미국","워너브러더스 코리아(주)",2017-10-02
"5868","킬러의 보디가드","42977","1709712","169","1334","미국","TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2017-10-02
"5869","리틀 프린세스 소피아 : 신비한 섬","43006","50611","135","1265","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-10-02
"5870","살인자의 기억법","42984","2655588","451","1217","한국","(주)쇼박스",2017-10-02
"5871","블레이드 러너 2049","43020","29736","155","461","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-10-02
"5872","매직울프","43011","25599","168","1151","러시아","(주)박수엔터테인먼트",2017-10-02
"5873","베이비 드라이버","42992","820702","279","659","영국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-10-02
"5874","어메이징 메리","43012","16621","61","523","미국","이십세기폭스코리아(주)",2017-10-02
"5875","우리의 20세기","43005","23839","98","577","미국","그린나래미디어(주)",2017-10-02
"5876","김광석","42977","95266","129","913","한국","(주)비엠컬쳐스",2017-10-02
"5877","인비저블 게스트","42999","92467","101","321","스페인","(주)더블앤조이픽쳐스",2017-10-02
"5878","다시 태어나도 우리","43005","17482","111","417","한국","(주)엣나인필름",2017-10-02
"5879","내 사랑","42928","332358","36","239","아일랜드","오드",2017-10-02
"5880","해피 버스데이","43006","8830","77","316","일본","(주)티캐스트",2017-10-02
"5881","그것","42984","888330","31","103","미국","워너브러더스 코리아(주)",2017-10-02
"5882","킹 오브 프리즘 - 프라이드 더 히어로","42896","100579","11","48","일본","(주)박수엔터테인먼트",2017-10-02
"5883","몬스터 콜","42992","86020","34","103","스페인","롯데쇼핑㈜롯데엔터테인먼트",2017-10-02
"5884","멀홀랜드 드라이브","37225","7103","14","68","미국","(주)영화사 안다미로",2017-10-02
"5885","택시운전사","42949","12185190","35","163","한국","(주)쇼박스",2017-10-02
"5886","괜찮아요, 미스터 브래드","42999","15705","27","118","미국","(주)영화사 진진,(주)누리픽쳐스",2017-10-02
"5887","윈드 리버: 감독판","42999","6971","16","128","미국","(주)유로커뮤니케이션",2017-10-02
"5888","미스 유 올레디","43011","2856","73","497","영국","(주)디스테이션",2017-10-02
"5889","저수지 게임","42985","123980","37","193","한국","(주)스마일이엔티",2017-10-02
"5890","여배우는 오늘도","42992","15324","25","129","한국","(주)메타플레이",2017-10-02
"5891","고양이 케디","42999","6403","23","133","미국","찬란",2017-10-02
"5892","주키퍼스 와이프","43020","1550","10","32","미국","(주)영화사 빅",2017-10-02
"5893","땐뽀걸즈","43005","2583","15","101","한국","KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",2017-10-02
"5894","어 퍼펙트 데이","42999","9821","14","70","스페인","(주)마노엔터테인먼트",2017-10-02
"5895","파리로 가는 길","42950","118620","4","23","미국","(주)티캐스트",2017-10-02
"5896","아메리칸 메이드","42992","399896","33","85","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-10-02
"5897","인생을 애니메이션처럼","43005","3106","48","123","미국","판씨네마(주)",2017-10-02
"5898","좋아해, 너를","42992","30634","2","28","일본","(주)디오시네마",2017-10-02
"5899","두 여인",NA,"7202","1","16","이탈리아",NA,2017-10-02
"5900","더 테이블","42971","102618","10","82","한국","(주)엣나인필름",2017-10-02
"5901","플래툰","31962","4270","1","15","미국","이언픽쳐스",2017-10-02
"5902","인도차이나","33796","794","1","8","프랑스","(유)영화사 화수분",2017-10-02
"5903","잃어버린 도시 Z","42999","46955","34","44","미국","(주)영화사 빅",2017-10-02
"5904","분장","43005","2302","17","97","한국","무브먼트",2017-10-02
"5905","대해적",NA,"2789","1","10","미국",NA,2017-10-02
"5906","걸즈 앤 판처 극장판","42607","30469","1","12","일본","(주)머스트씨무비릴리징컴퍼니",2017-10-02
"5907","보리수",NA,"872","1","5","독일",NA,2017-10-02
"5908","황금팔을 가진 사나이",NA,"1130","1","4",NA,NA,2017-10-02
"5909","트윈 픽스","34783","1151","5","22","미국","(주)영화사 안다미로",2017-10-02
"5910","연애센터",NA,"513","1","4","미국",NA,2017-10-02
"5911","남태평양","26152","9894","1","4","미국",NA,2017-10-02
"5912","혹성탈출: 종의 전쟁","42962","2050955","5","29","미국","이십세기폭스코리아(주)",2017-10-02
"5913","청년경찰","42956","5652996","11","29","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-10-02
"5914","사운드 오브 뮤직","28525","23272","1","3","미국","(주)팝엔터테인먼트,이십세기폭스코리아(주)",2017-10-02
"5915","로스트 하이웨이","35560","1339","4","16","미국","(주)영화사 안다미로",2017-10-02
"5916","극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계","42985","136901","12","13","일본","씨제이이앤엠(주)",2017-10-02
"5917","소돔과 고모라","27144","2990","1","4","미국",NA,2017-10-02
"5918","라라랜드","42711","3509826","3","11","미국","판씨네마(주)",2017-10-02
"5919","오케스트라의 소녀",NA,"4375","1","6","미국",NA,2017-10-02
"5920","매혹당한 사람들","42984","53879","2","11","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-10-02
"5921","금지된 장난","33873","2139","1","6","프랑스",NA,2017-10-02
"5922","투 이즈 어 패밀리","42999","8739","46","51","프랑스","글뫼 주식회사",2017-10-02
"5923","시인의 사랑","42992","12013","6","23","한국","CGV아트하우스",2017-10-02
"5924","공범자들","42964","259306","8","42","한국","(주)엣나인필름",2017-10-02
"5925","샤우트","28126","1865","1","9","영국",NA,2017-10-02
"5926","이레이저 헤드","35259","1189","5","13","영국","(주)영화사 안다미로",2017-10-02
"5927","뉴 폴리스 스토리","38373","341510","1","5","홍콩","(유)영화사 화수분,코리아픽쳐스(주)",2017-10-02
"5928","라 보엠","43016","279","11","11","독일","(주)케빈앤컴퍼니",2017-10-02
"5929","꿈",NA,"1931","1","8","한국",NA,2017-10-02
"5930","장산범","42964","1306387","5","35","한국","(주)넥스트엔터테인먼트월드(NEW)",2017-10-02
"5931","달기",NA,"2560","1","4","한국",NA,2017-10-02
"5932","군함도","42942","6592015","1","3","한국","씨제이이앤엠(주)",2017-10-02
"5933","나의 엔젤","43020","612","1","3","프랑스","CGV아트하우스",2017-10-02
"5934","빌로우 허","42999","5162","5","19","캐나다","(주)디스테이션",2017-10-02
"5935","흐트러진 구름",NA,"884","1","2","일본",NA,2017-10-02
"5936","로마여 영원하라",NA,"203","1","8","이탈리아",NA,2017-10-02
"5937","윈드 리버","42992","50742","5","13","미국","(주)유로커뮤니케이션",2017-10-02
"5938","예브게니 오네긴","43015","199","9","9","미국","(주)인스터피씨엠",2017-10-02
"5939","전우여 다시한번",NA,"2391","1","4","미국",NA,2017-10-02
"5940","데이빗 린치: 아트 라이프","42999","1205","7","19","미국","(주)에스와이코마드",2017-10-02
"5941","부운",NA,"985","1","2","일본",NA,2017-10-02
"5942","사랑을 합시다",NA,"3872","1","3","미국",NA,2017-10-02
"5943","이웃집 스타","42999","10747","9","18","한국","(주)스톰픽쳐스코리아",2017-10-02
"5944","만국",NA,"390","1","2","일본",NA,2017-10-02
"5945","빅풋 주니어","42956","320467","1","10","벨기에","(주)이수C&E",2017-10-02
"5946","소나기","42978","9865","5","32","한국","(주)리틀빅픽쳐스",2017-10-02
"5947","스팔타카스","27052","3883","1","2","미국",NA,2017-10-02
"5948","서서평, 천천히 평온하게","42851","122777","1","1","한국","커넥트픽쳐스(주)",2017-10-02
"5949","드래곤 스펠: 마법 꽃의 비밀","42962","79446","3","4","독일","㈜코리아스크린",2017-10-02
"5950","대장 부리바","26844","12409","1","9","미국",NA,2017-10-02
"5951","마미","41991","58361","1","2","캐나다","(주)엣나인필름",2017-10-02
"5952","부니베어: 나무 도둑의 습격","42992","19190","6","11","중국","예지림엔터테인먼트",2017-10-02
"5953","엽문3: 최후의 대결","42439","47072","1","2","홍콩","씨네그루(주)키다리이엔티",2017-10-02
"5954","물랑루즈","37190","19692","1","2","미국","(주)프레인글로벌,이십세기폭스필름코퍼레이션",2017-10-02
"5955","이도메네오","42980","857","6","6","미국","(주)인스터피씨엠",2017-10-02
"5956","산의 소리",NA,"421","1","2","일본",NA,2017-10-02
"5957","빈센트 반 고흐 : 새로운 시선","42971","6953","3","3","영국","메가박스(주)",2017-10-02
"5958","로엔그린","42974","1214","8","8","독일","(주)케빈앤컴퍼니",2017-10-02
"5959","댄서","42838","45001","1","4","영국","(주)엣나인필름",2017-10-02
"5960","호비와 무지개 오아시스 대모험","42985","15529","2","4","일본","(주)머스트씨무비릴리징컴퍼니",2017-10-02
"5961","극장판 소드 아트 온라인 -오디널 스케일-","42789","120433","1","2","일본","(주)박수엔터테인먼트",2017-10-02
"5962","이터널 선샤인","38666","498945","2","4","미국","(주)노바미디어,코리아픽쳐스(주)",2017-10-02
"5963","예감은 틀리지 않는다","42957","41994","1","2","영국","CGV아트하우스",2017-10-02
"5964","그녀","41781","355321","1","1","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-10-02
"5965","철부지 아씨","24911","2325","1","4","한국",NA,2017-10-02
"5966","시네마 천국","33061","35784","1","1","프랑스","(주)팝엔터테인먼트",2017-10-02
"5967","비긴 어게인","41864","3432325","1","2","미국","판씨네마(주)",2017-10-02
"5968","사랑의 용기","33712","50","1","1","미국",NA,2017-10-02
"5969","포레스트 검프","34622","15221","1","1","미국","(주)팝엔터테인먼트",2017-10-02
"5970","캐롤","42404","320016","1","1","미국","CGV아트하우스",2017-10-02
"5971","스테잉 버티컬",NA,"527","1","2","프랑스",NA,2017-10-02
"5972","예수는 역사다","42929","169298","1","3","미국","(재)CBS",2017-10-02
"5973","애천",NA,"2484","1","2",NA,NA,2017-10-02
"5974","500일의 썸머","40199","285765","1","3","미국","(주)팝엔터테인먼트,이십세기폭스코리아(주)",2017-10-02
"5975","백경","39522","5747","1","3","영국",NA,2017-10-02
"5976","해리슨 포드의 도망자","34223","71","1","1","미국",NA,2017-10-02
"5977","피아니스트","37622","14410","1","1","프랑스","(주)씨네월드,(주)드림팩트엔터테인먼트",2017-10-02
"5978","라 붐","41571","9201","1","1","프랑스","(주)앤드플러스미디어웍스",2017-10-02
"5979","워 웨곤",NA,"80","1","1",NA,NA,2017-10-02
"5980","단지 세상의 끝","42753","31524","1","1","캐나다","(주)엣나인필름",2017-10-02
"5981","폼페이 최후의 날","27790","3773","1","1","이탈리아",NA,2017-10-02
"5982","8월의 크리스마스","35819","24742","1","2","한국","한국영상투자개발(주),(주)싸이더스",2017-10-02
"5983","사월의 끝","42992","500","2","4","한국","(주)비엠컬쳐스",2017-10-02
"5984","가을의 전설","34776","183","1","1","미국",NA,2017-10-02
"5985","로렌스 애니웨이","41627","19681","1","1","캐나다","(주)엣나인필름",2017-10-02
"5986","밤섬해적단 서울불바다","42971","2293","3","9","한국","찬란",2017-10-02
"5987","선셋 대로",NA,"2418","1","1","미국",NA,2017-10-02
"5988","몽키킹 VS 구미호 대결전","43006","36","4","21","중국","(주)케이알씨지",2017-10-02
"5989","안녕 히어로","42985","5061","3","7","한국","(주)시네마달",2017-10-02
"5990","몬스터 섬의 비밀","42985","26690","1","3","멕시코","(주)박수엔터테인먼트",2017-10-02
"5991","교주전: 천공의 눈","42999","189","3","9","중국","주식회사 풍경소리",2017-10-02
"5992","길","42866","16929","1","3","한국","(주)더블앤조이픽쳐스",2017-10-02
"5993","색, 계","39394","1925081","1","1","미국","(주)제이앤씨미디어그룹,씨제이엔터테인먼트",2017-10-02
"5994","호수의 이방인",NA,"3026","1","1","프랑스","(주)영화사 진진",2017-10-02
"5995","위시 어폰","42936","55586","5","15","미국","(주)이수C&E",2017-10-02
"5996","작쩐","43006","28","3","17","중국","(주)케이알씨지",2017-10-02
"5997","글루미 선데이","36820","23925","1","1","독일","(주)팝엔터테인먼트",2017-10-02
"5998","특수경찰: 스페셜 ID","41648","7115","1","2","중국","(주)팝엔터테인먼트",2017-10-02
"5999","영웅본색","31920","14615","1","2","홍콩","(유)조이앤시네마",2017-10-02
"6000","브이아이피","42970","1373298","2","14","한국","워너브러더스 코리아(주)",2017-10-02
"6001","로마의 휴일",NA,"13733","1","1","미국",NA,2017-10-02
"6002","키드냅 시티","43006","26","3","14","캐나다","(주)케이알씨지",2017-10-02
"6003","알랭 기로디 특별전 단편모음",NA,"30","1","1","프랑스",NA,2017-10-02
"6004","페니 핀처","42977","7316","1","1","프랑스","주식회사 씨네룩스",2017-10-02
"6005","무협","40864","28710","1","2","홍콩","(주)넥스트엔터테인먼트월드(NEW)",2017-10-02
"6006","더 킬러","43006","21","3","12","스페인","(주)케이알씨지",2017-10-02
"6007","극장판 도라에몽: 진구의 남극 꽁꽁 대모험","42957","167052","1","1","일본","(주)넥스트엔터테인먼트월드(NEW)",2017-10-02
"6008","스파이 게임","42992","15986","2","2","영국","메가박스(주)플러스엠",2017-10-02
"6009","신몽키킹: 여인천국","42999","56","4","9","중국","(주)케이알씨지",2017-10-02
"6010","그럼에도 불구하고","42971","1216","2","3","한국","영화배급협동조합 씨네소파",2017-10-02
"6011","발레리안: 천 개 행성의 도시","42977","510356","2","6","프랑스","판씨네마(주)",2017-10-02
"6012","케이지 다이브","42999","987","3","7","호주","(주)드림팩트엔터테인먼트",2017-10-02
"6013","심야식당 2","42894","46694","1","1","일본","(주)디스테이션",2017-10-02
"6014","도주왕","41165","141","1","1","프랑스","(주)소나무픽쳐스",2017-10-02
"6015","용감한 자에게 안식은 없다",NA,"36","1","1","프랑스",NA,2017-10-02
"6016","내 마음의 고향","41970","143","1","8","한국","더 필름클래식 프로덕션",2017-10-02
"6017","소중한 날의 꿈","40717","53218","1","2","한국","에이원엔터테인먼트",2017-10-02
"6018","레이디 맥베스","42950","23333","1","1","영국","주식회사 씨네룩스",2017-10-02
"6019","메밀꽃, 운수 좋은 날, 그리고 봄봄","41872","34733","1","2","한국","이달투",2017-10-02
"6020","현장법사: 서유기의 시작","42999","27","2","5","중국","(유)조이앤시네마",2017-10-02
"6021","현상금 사냥꾼","42999","27","2","4","미국","(유)조이앤시네마",2017-10-02
"6022","슈퍼배드 3","42942","3324861","1","1","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-10-02
"6023","그녀의 깊은 정사-감독판","42992","175","1","4","한국","(주)케이알씨지",2017-10-02
"6024","나무없는 산","40052","8140","1","4","한국","씨제이엔터테인먼트",2017-10-02
"6025","올드보이","37946","308669","1","1","한국","쇼이스트(주),씨제이이앤엠(주)",2017-10-02
"6026","치어 댄스","42999","1963","1","1","일본","와이드 릴리즈(주)",2017-10-02
"6027","귀향, 끝나지 않은 이야기","42992","14490","1","1","한국","커넥트픽쳐스(주)",2017-10-02
"6028","첫키스만 50번째","38092","220208","1","1","미국","팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2017-10-02
"6029","문라이트","42788","177502","1","1","미국","CGV아트하우스",2017-10-02
"6030","돈 지오반니","42742","1995","1","1","미국","(주)인스터피씨엠",2017-10-02
"6031","인크레더블 스파이더","43014","1","1","1","미국","(유)조이앤시네마",2017-10-02
"6032","아키라","42978","10573","1","1","일본","(주)삼지애니메이션,(주)에이원엔터테인먼트",2017-10-02
"6033","누드모델 리사와 오빠","43010","1","1","1","일본","(주)도키엔터테인먼트",2017-10-02
"6034","아내를 빌려준 날","43010","1","1","1","일본","(주)도키엔터테인먼트",2017-10-02
"6035","이사온 부부스와핑","43010","1","1","1","일본","(주)도키엔터테인먼트",2017-10-02
"6036","욕정 가정부의 엉덩이","43010","1","1","1","일본","(주)도키엔터테인먼트",2017-10-02
"6037","악녀: 더 킬러","43014","1","1","1","미국","(유)조이앤시네마",2017-10-02
"6038","로봇 사용설명서","43010","1","1","1","이스라엘","(주)도키엔터테인먼트",2017-10-02
"6039","가부키쵸 육체 마사지","43010","1","1","1","일본","(주)도키엔터테인먼트",2017-10-02
"6040","폭력의 근원","43014","1","1","1","미국","(유)조이앤시네마",2017-10-02
"6041","녹색광선",NA,"1116","1","1","프랑스",NA,2017-10-02
"6042","재꽃","42922","5422","1","1","한국","딥 포커스",2017-10-02
"6043","나의 산티아고","42565","94243","1","1","독일","(주)영화사 진진",2017-10-02
"6044","우주의 크리스마스","42656","2132","1","1","한국","(주)인디플러그",2017-10-02
"6052","킹스맨: 골든 서클","43005","2350671","1687","40228","미국","이십세기폭스코리아(주)",2017-09-25
"6053","아이 캔 스피크","42999","1649352","1075","31504","한국","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-25
"6054","살인자의 기억법","42984","2622858","629","10537","한국","(주)쇼박스",2017-09-25
"6055","극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!","43005","93109","485","2940","일본","씨제이이앤엠(주)",2017-09-25
"6056","베이비 드라이버","42992","801579","491","6488","영국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-09-25
"6057","레고 닌자고 무비","43006","75256","459","2497","미국","워너브러더스 코리아(주)",2017-09-25
"6058","킬러의 보디가드","42977","1645640","190","2618","미국","TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2017-09-25
"6059","인비저블 게스트","42999","81574","213","2104","스페인","(주)더블앤조이픽쳐스",2017-09-25
"6060","김광석","42977","82945","129","1074","한국","(주)비엠컬쳐스",2017-09-25
"6061","남한산성","43011","19196","23","113","한국","씨제이이앤엠(주)",2017-09-25
"6062","리틀 프린세스 소피아 : 신비한 섬","43006","17783","129","800","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-09-25
"6063","아메리칸 메이드","42992","398827","405","2131","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-09-25
"6064","그것","42984","885173","219","1007","미국","워너브러더스 코리아(주)",2017-09-25
"6065","잃어버린 도시 Z","42999","46231","352","1958","미국","(주)영화사 빅",2017-09-25
"6066","우리의 20세기","43005","11378","98","731","미국","그린나래미디어(주)",2017-09-25
"6067","범죄도시","43011","30408","18","53","한국","메가박스(주)플러스엠,(주)키위미디어그룹",2017-09-25
"6068","몬스터 콜","42992","82912","164","754","스페인","롯데쇼핑㈜롯데엔터테인먼트",2017-09-25
"6069","저수지 게임","42985","121747","135","671","한국","(주)스마일이엔티",2017-09-25
"6070","다시 태어나도 우리","43005","8729","118","750","한국","(주)엣나인필름",2017-09-25
"6071","택시운전사","42949","12182167","132","583","한국","(주)쇼박스",2017-09-25
"6072","괜찮아요, 미스터 브래드","42999","12738","119","628","미국","(주)영화사 진진,(주)누리픽쳐스",2017-09-25
"6073","해피 버스데이","43006","4731","81","499","일본","(주)티캐스트",2017-09-25
"6074","어 퍼펙트 데이","42999","8652","76","337","스페인","(주)마노엔터테인먼트",2017-09-25
"6075","넛잡 2","43011","4060","15","23","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-09-25
"6076","여배우는 오늘도","42992","13343","37","247","한국","(주)메타플레이",2017-09-25
"6077","킹 오브 프리즘 - 프라이드 더 히어로","42896","97436","13","50","일본","(주)박수엔터테인먼트",2017-09-25
"6078","윈드 리버: 감독판","42999","4188","14","119","미국","(주)유로커뮤니케이션",2017-09-25
"6079","내 사랑","42928","327270","36","134","아일랜드","오드",2017-09-25
"6080","투 이즈 어 패밀리","42999","8409","122","768","프랑스","글뫼 주식회사",2017-09-25
"6081","이웃집 스타","42999","10607","206","724","한국","(주)스톰픽쳐스코리아",2017-09-25
"6082","멀홀랜드 드라이브","37225","4036","16","27","미국","(주)영화사 안다미로",2017-09-25
"6083","고양이 케디","42999","4898","30","225","미국","찬란",2017-09-25
"6084","청년경찰","42956","5652512","46","160","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-09-25
"6085","공범자들","42964","258989","41","141","한국","(주)엣나인필름",2017-09-25
"6086","좋아해, 너를","42992","29603","28","116","일본","(주)디오시네마",2017-09-25
"6087","인셉션","40380","5835017","1","5","미국","워너브러더스 코리아(주)",2017-09-25
"6088","안녕 히어로","42985","5040","6","28","한국","(주)시네마달",2017-09-25
"6089","루터","43026","1629","4","9","독일","THE 픽쳐스",2017-09-25
"6090","빌로우 허","42999","4944","59","222","캐나다","(주)디스테이션",2017-09-25
"6091","윈드 리버","42992","50541","48","162","미국","(주)유로커뮤니케이션",2017-09-25
"6092","아이 앰 히스 레저","43027","1404","16","16","캐나다","오드",2017-09-25
"6093","인생을 애니메이션처럼","43005","2045","49","251","미국","판씨네마(주)",2017-09-25
"6094","극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계","42985","136482","28","92","일본","씨제이이앤엠(주)",2017-09-25
"6095","더 테이블","42971","101711","22","139","한국","(주)엣나인필름",2017-09-25
"6096","부니베어: 나무 도둑의 습격","42992","19087","17","66","중국","예지림엔터테인먼트",2017-09-25
"6097","김장+손의 무게+미열",NA,"1000","2","8","한국",NA,2017-09-25
"6098","시인의 사랑","42992","11692","40","173","한국","CGV아트하우스",2017-09-25
"6099","부라더","43041","928","2","4","한국","메가박스(주)플러스엠",2017-09-25
"6100","땐뽀걸즈","43005","1370","16","100","한국","KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",2017-09-25
"6101","숨바꼭질+지구별+가을단기방학+못, 함께하는",NA,"943","3","8","한국",NA,2017-09-25
"6102","분장","43005","1642","16","90","한국","무브먼트",2017-09-25
"6103","대장 김창수","43027","902","3","4","한국","씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",2017-09-25
"6104","파리로 가는 길","42950","117513","6","43","미국","(주)티캐스트",2017-09-25
"6105","우정어린 설복",NA,"2431","1","9","미국",NA,2017-09-25
"6106","더 헌트+동경소녀+노브라 해방기+여자답게 싸워라",NA,"926","2","7","한국",NA,2017-09-25
"6107","오늘의 자리+가현이들",NA,"884","2","7","한국",NA,2017-09-25
"6108","무방비 도시",NA,"787","1","10","이탈리아",NA,2017-09-25
"6109","6 웨이 투 다이","42983","3057","2","2","미국","제인앤유",2017-09-25
